time,topic,topic_value,source
4,2,0.09532518684864044,armenia
4,3,0.2604849934577942,armenia
4,4,0.05136438086628914,armenia
4,5,0.047186385840177536,armenia
4,6,0.1943678855895996,armenia
4,7,0.08176712691783905,armenia
4,8,0.11392659693956375,armenia
4,9,0.02941874973475933,armenia
5,0,0.04043777659535408,armenia
5,1,0.08565597236156464,armenia
5,2,0.09488800913095474,armenia
5,3,0.264382928609848,armenia
5,4,0.051200274378061295,armenia
5,5,0.046927668154239655,armenia
5,6,0.19254954159259796,armenia
5,7,0.08108778297901154,armenia
5,8,0.11363928765058517,armenia
5,9,0.029230579733848572,armenia
6,0,0.04025521129369736,armenia
6,1,0.08589084446430206,armenia
6,2,0.094386987388134,armenia
6,3,0.26845234632492065,armenia
6,4,0.05105156451463699,armenia
6,5,0.04668867960572243,armenia
6,6,0.1904516965150833,armenia
6,7,0.08040670305490494,armenia
6,8,0.11334556341171265,armenia
6,9,0.029070375487208366,armenia
7,0,0.04009079560637474,armenia
7,1,0.08611132204532623,armenia
7,2,0.09379180520772934,armenia
7,3,0.2722178101539612,armenia
7,4,0.050898078829050064,armenia
7,5,0.04649674519896507,armenia
7,6,0.18864424526691437,armenia
7,7,0.07977773249149323,armenia
7,8,0.11305737495422363,armenia
7,9,0.028914200142025948,armenia
8,0,0.039938781410455704,armenia
8,1,0.08632305264472961,armenia
8,2,0.09314684569835663,armenia
8,3,0.27567774057388306,armenia
8,4,0.05074945092201233,armenia
8,5,0.04633808135986328,armenia
8,6,0.1870792806148529,armenia
8,7,0.07920996844768524,armenia
8,8,0.11276784539222717,armenia
8,9,0.028768964111804962,armenia
9,0,0.039798736572265625,armenia
9,1,0.0865287110209465,armenia
9,2,0.0924745574593544,armenia
9,3,0.2788313329219818,armenia
9,4,0.0506054162979126,armenia
9,5,0.046205565333366394,armenia
9,6,0.18573404848575592,armenia
9,7,0.0787070170044899,armenia
9,8,0.11247843503952026,armenia
9,9,0.028636205941438675,armenia
10,0,0.03967055305838585,armenia
10,1,0.08673058450222015,armenia
10,2,0.0917900800704956,armenia
10,3,0.28168296813964844,armenia
10,4,0.050466250628232956,armenia
10,5,0.046095289289951324,armenia
10,6,0.18458734452724457,armenia
10,7,0.0782688558101654,armenia
10,8,0.11219164729118347,armenia
10,9,0.02851647138595581,armenia
11,0,0.03955340385437012,armenia
11,1,0.08692994713783264,armenia
11,2,0.09110351651906967,armenia
11,3,0.2842436134815216,armenia
11,4,0.05033224821090698,armenia
11,5,0.046004537492990494,armenia
11,6,0.1836201697587967,armenia
11,7,0.07789339125156403,armenia
11,8,0.11190943419933319,armenia
11,9,0.028409726917743683,armenia
12,0,0.03944982588291168,armenia
12,1,0.08709120005369186,armenia
12,2,0.09041985124349594,armenia
12,3,0.2866358458995819,armenia
12,4,0.05017350986599922,armenia
12,5,0.045897532254457474,armenia
12,6,0.1828482300043106,armenia
12,7,0.07754218578338623,armenia
12,8,0.11163843423128128,armenia
12,9,0.02830340713262558,armenia
13,0,0.03936212509870529,armenia
13,1,0.08724026381969452,armenia
13,2,0.08974567800760269,armenia
13,3,0.2888055145740509,armenia
13,4,0.05000980943441391,armenia
13,5,0.0457896888256073,armenia
13,6,0.18224123120307922,armenia
13,7,0.0772324949502945,armenia
13,8,0.11137038469314575,armenia
13,9,0.02820289134979248,armenia
14,0,0.03928535804152489,armenia
14,1,0.08741594851016998,armenia
14,2,0.08909019082784653,armenia
14,3,0.2906047999858856,armenia
14,4,0.04987515136599541,armenia
14,5,0.04572565108537674,armenia
14,6,0.18175528943538666,armenia
14,7,0.07700888812541962,armenia
14,8,0.111113041639328,armenia
14,9,0.028125757351517677,armenia
15,0,0.03920932859182358,armenia
15,1,0.0875970870256424,armenia
15,2,0.08844933658838272,armenia
15,3,0.29214754700660706,armenia
15,4,0.0497535802423954,armenia
15,5,0.04568424075841904,armenia
15,6,0.18139028549194336,armenia
15,7,0.07684513926506042,armenia
15,8,0.11086107790470123,armenia
15,9,0.02806238643825054,armenia
16,0,0.03913357853889465,armenia
16,1,0.08777972310781479,armenia
16,2,0.08782447874546051,armenia
16,3,0.29347115755081177,armenia
16,4,0.04964066296815872,armenia
16,5,0.0456593818962574,armenia
16,6,0.1811322420835495,armenia
16,7,0.07673411816358566,armenia
16,8,0.11061366647481918,armenia
16,9,0.02801094949245453,armenia
17,0,0.03903055191040039,armenia
17,1,0.08807820826768875,armenia
